rule,train_n,train_mean_bps,train_hit_rate,train_t,test_n,test_mean_bps,test_hit_rate,test_t,test_lift_vs_baseline_bps,test_total_bps
minute=13:30,160,1.140526,0.5875,1.7599,89,2.082532,0.5730,2.4095,1.901136,185.3453
dow=Tue + midday=True,608,0.496353,0.5510,1.5373,342,1.126524,0.5205,2.0256,0.945128,385.2712
first_trading_day_month=True + midday=True,144,0.933005,0.6181,1.5130,90,1.343132,0.5444,1.6802,1.161736,120.8819
first_trading_day_week=True,1351,0.315474,0.5144,1.5893,691,0.602189,0.4964,1.4166,0.420793,416.1129
midday=True + weekday_instance=2_Mon,144,0.824873,0.6042,1.6229,72,1.119438,0.5139,1.3933,0.938042,80.5995
dow=Mon,1235,0.322536,0.5142,1.5890,615,0.613751,0.5008,1.3889,0.432355,377.4570
minute=15:30,160,-1.135523,0.4062,-2.2816,89,-1.173036,0.4045,-1.3832,-1.354432,-104.4002
first_trading_day_week=True + quarter=Q2,191,0.999612,0.5445,1.8512,348,0.606270,0.5230,1.3267,0.424874,210.9818
dow=Mon + quarter=Q2,152,0.951619,0.5263,1.5309,310,0.656508,0.5290,1.3067,0.475112,203.5175
dow=Tue + hour=12:00,203,0.940067,0.6010,1.6516,114,1.087943,0.5088,1.1321,0.906547,124.0255
weekday_instance=4_Tue,270,0.684789,0.5370,1.5677,193,0.756473,0.5026,1.0803,0.575077,145.9994
bucket_30m=10:00,489,0.931264,0.5256,1.8634,267,1.013439,0.5468,1.0547,0.832043,270.5881
