minute,n,mean_bps,hit_rate,t_stat,total_bps
09:45,252,0.452836,0.5040,0.3942,114.1146
10:00,252,1.252390,0.5278,1.0643,315.6024
10:15,252,0.715769,0.5437,0.7382,180.3738
10:30,252,0.090782,0.5238,0.1000,22.8770
10:45,252,0.772933,0.5357,0.8278,194.7792
11:00,252,-0.641862,0.4643,-0.7566,-161.7492
11:15,251,0.002597,0.5299,0.0031,0.6518
11:30,252,-0.651672,0.4841,-0.7432,-164.2212
11:45,251,0.673940,0.5060,0.8797,169.1589
12:00,252,0.271473,0.5159,0.3888,68.4113
12:15,251,0.189595,0.5618,0.3077,47.5883
12:30,250,0.003530,0.4920,0.0050,0.8825
12:45,252,-0.172595,0.4524,-0.2239,-43.4938
13:00,249,-0.638112,0.5181,-0.9977,-158.8898
13:15,249,-0.038755,0.5020,-0.0541,-9.6499
13:30,249,0.937202,0.5863,1.4175,233.3634
13:45,248,0.204811,0.5565,0.3009,50.7931
14:00,249,0.551996,0.4779,0.9195,137.4471
14:15,249,-0.802561,0.5301,-1.1889,-199.8376
14:30,248,0.610320,0.5081,0.9603,151.3593
14:45,249,-0.559279,0.4538,-0.9009,-139.2606
15:00,249,0.144237,0.5341,0.2126,35.9150
15:15,249,0.567351,0.5141,0.9420,141.2703
15:30,249,-0.795959,0.4418,-1.2825,-198.1938
15:45,249,0.137580,0.5060,0.2154,34.2575
16:00,121,0.011814,0.4711,0.0126,1.4294
