minute,n,mean_bps,hit_rate,t_stat,total_bps
09:45,252,0.454179,0.5000,0.3958,114.4530
10:00,252,1.197424,0.5238,1.0157,301.7508
10:15,252,0.701343,0.5635,0.7245,176.7386
10:30,252,0.270737,0.5198,0.2990,68.2257
10:45,252,0.659338,0.5317,0.7113,166.1532
11:00,252,-0.621776,0.4643,-0.7338,-156.6876
11:15,252,-0.037556,0.5198,-0.0452,-9.4640
11:30,252,-0.593030,0.4802,-0.6743,-149.4436
11:45,252,0.591236,0.5317,0.7849,148.9914
12:00,252,0.352814,0.5040,0.5099,88.9092
12:15,252,0.179011,0.5357,0.2912,45.1107
12:30,252,-0.082065,0.5238,-0.1188,-20.6804
12:45,252,-0.080917,0.4643,-0.1067,-20.3910
13:00,252,-0.496087,0.5278,-0.7686,-125.0140
13:15,252,-0.306567,0.4841,-0.4306,-77.2550
13:30,252,0.972422,0.5754,1.4987,245.0504
13:45,252,0.263997,0.5556,0.3959,66.5272
14:00,252,0.458903,0.4722,0.7793,115.6435
14:15,252,-0.776402,0.5437,-1.1520,-195.6534
14:30,252,0.621729,0.5119,0.9900,156.6758
14:45,252,-0.551884,0.4524,-0.8875,-139.0748
15:00,252,0.237514,0.5556,0.3554,59.8536
15:15,251,0.489873,0.5179,0.8203,122.9581
15:30,252,-0.789559,0.4524,-1.2822,-198.9688
15:45,252,0.081165,0.5079,0.1289,20.4536
16:00,251,-0.057522,0.4940,-0.0724,-14.4380
