rule,train_n,train_mean_bps,train_hit_rate,train_t,test_n,test_mean_bps,test_hit_rate,test_t,test_lift_vs_baseline_bps,test_total_bps
hour=14:00 + month=03,534,1.051179,0.5487,1.8061,258,2.164850,0.5775,2.6790,2.106024,558.5314
bucket_5m=13:40 + dow=Tue,183,1.525387,0.6066,1.8356,99,3.030091,0.6061,2.3871,2.971265,299.9790
day_of_month=03 + hour=15:00,172,-1.854338,0.4419,-2.1409,95,-2.663088,0.4316,-2.3074,-2.721914,-252.9933
bucket_5m=14:20 + week_of_month=3,198,-1.420906,0.4394,-1.6413,109,-1.812951,0.4128,-2.2900,-1.871777,-197.6116
bucket_15m=13:30,1767,0.408498,0.5393,1.5330,952,0.838183,0.5294,2.2660,0.779357,797.9507
day_of_month=18 + dow=Wed,156,-4.159201,0.3782,-3.6910,195,-1.975210,0.4205,-1.8172,-2.034036,-385.1659
day_of_month=24,1046,1.196892,0.5440,2.6833,651,0.622950,0.5192,1.8035,0.564124,405.5403
day_of_month=18,1092,-0.700150,0.5055,-1.9276,624,-0.876162,0.4808,-1.7904,-0.934988,-546.7250
day_of_month=24 + midday=True,486,1.091681,0.5473,1.9267,306,0.771596,0.5392,1.6993,0.712770,236.1083
bucket_5m=13:40 + turn_of_month=True,255,1.414598,0.5490,2.3115,138,1.219184,0.5507,1.6799,1.160358,168.2474
bucket_5m=16:00 + week_of_month=2,213,2.286469,0.6056,2.3131,111,2.140825,0.5315,1.6404,2.081998,237.6315
bucket_5m=16:00 + first_trading_day_week=True,184,2.543568,0.5326,2.2245,99,2.640709,0.5657,1.6392,2.581883,261.4302
bucket_30m=14:30 + month=03,267,1.788603,0.5543,2.0409,129,1.746152,0.5581,1.6279,1.687326,225.2536
bucket_30m=13:30 + quarter=Q4,570,0.700895,0.5509,1.5032,384,0.692267,0.5547,1.6162,0.633441,265.8305
quarter=Q1 + weekday_instance=2_Thu,468,-1.340542,0.4722,-2.0825,195,-1.368079,0.4974,-1.5368,-1.426906,-266.7755
bucket_30m=15:30 + week_of_month=2,639,-0.814914,0.4836,-1.5630,333,-1.042351,0.4685,-1.5127,-1.101177,-347.1028
