minute,n,mean_bps,hit_rate,t_stat,total_bps
09:40,1360,-0.316640,0.5066,-0.6156,-430.6310
09:50,1360,-0.162420,0.4890,-0.3258,-220.8906
10:00,1360,0.924738,0.5397,1.8979,1257.6431
10:10,1360,-0.790791,0.4904,-1.7907,-1075.4763
10:20,1360,0.717765,0.5324,1.6989,976.1604
10:30,1360,-0.139556,0.5221,-0.3094,-189.7956
10:40,1360,-0.196656,0.5037,-0.5272,-267.4528
10:50,1360,0.025944,0.5110,0.0688,35.2833
11:00,1360,0.240653,0.5243,0.6883,327.2877
11:10,1360,0.063830,0.5206,0.1821,86.8082
11:20,1360,0.285098,0.5184,0.8650,387.7336
11:30,1359,-0.161338,0.5173,-0.5007,-219.2579
11:40,1360,0.320388,0.5037,0.9600,435.7270
11:50,1360,0.074566,0.5272,0.2336,101.4096
12:00,1360,-0.105425,0.5265,-0.3436,-143.3781
12:10,1360,-0.377260,0.5037,-1.2187,-513.0739
12:20,1360,0.251350,0.5250,0.8770,341.8356
12:30,1360,0.058346,0.5176,0.2054,79.3507
12:40,1360,0.307659,0.5066,1.1105,418.4168
12:50,1360,-0.441654,0.5059,-1.5553,-600.6493
13:00,1360,0.144756,0.5176,0.5325,196.8680
13:10,1360,0.011213,0.5191,0.0364,15.2502
13:20,1360,-0.009546,0.4985,-0.0245,-12.9830
13:30,1359,0.448008,0.5445,1.4181,608.8426
13:40,1360,0.669797,0.5272,2.2670,910.9237
13:50,1360,-0.258401,0.5044,-0.9298,-351.4258
14:00,1359,0.227390,0.4996,0.7391,309.0224
14:10,1357,-0.402744,0.5173,-1.2111,-546.5237
14:20,1360,0.081555,0.5125,0.2870,110.9153
14:30,1356,0.401477,0.5258,1.2942,544.4032
14:40,1357,0.574942,0.5195,1.7335,780.1962
14:50,1355,-0.060155,0.4937,-0.1807,-81.5103
15:00,1356,0.657869,0.5391,2.0527,892.0708
15:10,1355,-0.127920,0.5122,-0.3814,-173.3322
15:20,1355,0.139778,0.5114,0.4604,189.3991
15:30,1358,-0.598993,0.4676,-1.8635,-813.4321
15:40,1355,-0.281724,0.5026,-0.8400,-381.7354
15:50,1355,-0.203831,0.4900,-0.5347,-276.1905
16:00,1357,0.088270,0.4982,0.2060,119.7825
