minute,n,mean_bps,hit_rate,t_stat,total_bps
09:45,1360,-0.061392,0.5059,-0.1032,-83.4937
10:00,1360,0.507070,0.5074,0.8357,689.6152
10:15,1360,-0.352001,0.5132,-0.5800,-478.7207
10:30,1360,0.139419,0.5265,0.2466,189.6092
10:45,1360,0.173260,0.5206,0.3798,235.6337
11:00,1360,-0.103320,0.4904,-0.2355,-140.5155
11:15,1360,0.043841,0.5125,0.0931,59.6235
11:30,1359,0.142839,0.5121,0.3673,194.1184
11:45,1360,0.368112,0.5213,0.9460,500.6328
12:00,1360,-0.077450,0.5140,-0.2143,-105.3323
12:15,1360,-0.070938,0.5147,-0.1875,-96.4755
12:30,1360,0.003373,0.5169,0.0097,4.5879
12:45,1360,-0.012767,0.5206,-0.0368,-17.3637
13:00,1360,0.023529,0.5257,0.0693,31.9993
13:15,1360,0.170804,0.5228,0.4609,232.2938
13:30,1359,0.283209,0.5283,0.5661,384.8806
13:45,1358,0.328000,0.5228,0.9296,445.4238
14:00,1359,0.308401,0.5004,0.8300,419.1164
14:15,1357,-0.513712,0.5203,-1.3367,-697.1077
14:30,1356,0.591985,0.5118,1.5823,802.7320
14:45,1359,0.657542,0.5136,1.4343,893.5993
15:00,1356,0.514369,0.5428,1.3096,697.4844
15:15,1354,-0.212029,0.5037,-0.5199,-287.0878
15:30,1358,-0.375198,0.4890,-0.9361,-509.5185
15:45,1357,-0.509096,0.4930,-1.2267,-690.8434
16:00,1357,0.110078,0.5026,0.2035,149.3760
