rule,train_n,train_mean_bps,train_hit_rate,train_t,test_n,test_mean_bps,test_hit_rate,test_t,test_lift_vs_baseline_bps,test_total_bps
bucket_5m=10:10 + dow=Thu,179,-1.227272,0.4413,-1.5586,93,-2.626912,0.4301,-2.6995,-2.656184,-244.3028
bucket_10m=10:50 + dow=Wed,366,-0.862063,0.4481,-1.9852,194,-1.302282,0.4897,-2.1466,-1.331554,-252.6426
bucket_5m=13:40 + dow=Tue,183,0.985326,0.5301,1.7403,99,1.681064,0.4848,2.0466,1.651792,166.4254
bucket_5m=11:00 + dow=Wed,183,1.559830,0.5628,2.9671,97,1.334006,0.5670,1.8036,1.304733,129.3985
bucket_5m=15:55 + dow=Thu,179,-2.150175,0.4246,-2.4082,93,-1.729869,0.4946,-1.7444,-1.759141,-160.8778
bucket_5m=10:15 + dow=Thu,179,3.345354,0.6257,3.8893,93,1.855699,0.6022,1.7078,1.826426,172.5800
bucket_5m=10:20 + dow=Wed,183,1.750090,0.6066,2.2896,97,1.310534,0.5361,1.6508,1.281262,127.1218
bucket_10m=10:20 + dow=Wed,366,1.071749,0.5656,1.9169,194,0.950271,0.5206,1.6451,0.920999,184.3526
bucket_5m=13:10 + dow=Mon,161,1.340533,0.5031,2.0951,91,0.945004,0.5275,1.6293,0.915732,85.9954
bucket_10m=14:30 + dow=Mon,321,0.604459,0.5826,1.5859,182,0.665656,0.5549,1.5511,0.636383,121.1493
