rule,train_n,train_mean_bps,train_hit_rate,train_t,test_n,test_mean_bps,test_hit_rate,test_t,test_lift_vs_baseline_bps,test_total_bps
bucket_5m=13:55,20,-0.563467,0.2500,-1.8321,10,-0.803207,0.1000,-3.0643,-0.839071,-8.0321
bucket_5m=15:20,20,0.334125,0.6500,1.5500,10,0.473595,0.7000,2.4318,0.437731,4.7360
bucket_10m=13:00,40,-0.556612,0.4000,-1.7330,30,-0.506232,0.3333,-2.0254,-0.542097,-15.1870
bucket_10m=15:00,40,0.451197,0.6000,2.1356,20,0.293037,0.6500,1.5498,0.257173,5.8607
bucket_10m=14:00,40,0.378438,0.6500,1.8432,20,0.240428,0.5500,1.4512,0.204564,4.8086
bucket_10m=11:40,40,-0.643514,0.2750,-2.2616,30,-0.308267,0.3667,-1.3519,-0.344131,-9.2480
bucket_5m=11:40,20,-1.014098,0.3000,-2.2475,15,-0.303861,0.4667,-1.2213,-0.339725,-4.5579
bucket_30m=15:00,120,0.226277,0.5417,2.0534,60,0.098774,0.5333,0.9946,0.062909,5.9264
bucket_10m=15:20,40,0.299008,0.6250,1.7697,20,0.151391,0.5500,0.9654,0.115527,3.0278
dow=Tue + hour=15:00,60,0.304531,0.6167,1.6567,60,0.094389,0.5500,0.9393,0.058525,5.6634
bucket_15m=14:15,60,0.332486,0.6500,2.1670,30,0.143416,0.5333,0.9300,0.107552,4.3025
bucket_5m=14:15,20,0.576924,0.6500,1.9623,10,0.315831,0.6000,0.8176,0.279967,3.1583
bucket_30m=14:00,120,0.298574,0.6083,2.6305,60,0.077227,0.4833,0.7300,0.041363,4.6336
bucket_5m=13:45,20,0.512330,0.7000,1.8157,10,0.368692,0.4000,0.6677,0.332828,3.6869
bucket_5m=14:20,20,0.431007,0.7000,1.7208,10,0.118482,0.6000,0.6317,0.082617,1.1848
bucket_5m=13:05,20,-0.922958,0.3000,-1.9202,15,-0.227996,0.4000,-0.5719,-0.263860,-3.4199
bucket_15m=14:00,60,0.264663,0.5667,1.5707,30,0.011039,0.4333,0.0754,-0.024825,0.3312
dow=Tue + hour=11:00,60,-0.548776,0.3500,-1.8534,60,-0.006575,0.5000,-0.0399,-0.042439,-0.3945
