rule,train_n,train_mean_bps,train_hit_rate,train_t,test_n,test_mean_bps,test_hit_rate,test_t,test_lift_vs_baseline_bps,test_total_bps
minute=15:10,4,6.209685,1.0000,3.1285,2,2.897100,1.0000,21.9663,2.557492,5.7942
minute=14:10,4,4.822241,1.0000,2.4889,2,2.371149,1.0000,3.5948,2.031541,4.7423
minute=13:10,4,-5.647046,0.0000,-1.7126,3,-4.445677,0.0000,-2.2107,-4.785285,-13.3370
minute=14:00,4,-4.142997,0.0000,-1.9861,2,-3.095537,0.0000,-2.0422,-3.435145,-6.1911
dow=Tue + hour=10:00,6,3.383835,0.6667,1.7176,6,3.724609,0.6667,1.4860,3.385001,22.3477
dow=Tue + hour=15:00,6,2.911630,0.8333,1.8834,6,0.834211,0.6667,1.4599,0.494603,5.0053
minute=14:40,4,-2.759663,0.2500,-1.8587,2,-2.305597,0.0000,-1.2064,-2.645205,-4.6112
bucket_30m=11:30 + dow=Tue,3,-4.602531,0.0000,-3.1879,3,-2.346489,0.3333,-1.1557,-2.686097,-7.0395
bucket_30m=10:00 + dow=Tue,3,6.080316,1.0000,3.6578,3,3.056432,0.6667,1.1540,2.716824,9.1693
bucket_30m=10:00,12,4.798236,0.6667,1.5631,9,1.842255,0.6667,0.6999,1.502647,16.5803
bucket_30m=13:00 + last_trading_day_week=True,3,-2.026171,0.0000,-6.9940,3,-2.032294,0.3333,-0.6674,-2.371902,-6.0969
minute=14:30,4,4.299327,1.0000,2.7885,2,0.857121,0.5000,0.6200,0.517513,1.7142
bucket_30m=10:30 + last_trading_day_week=True,3,-7.671411,0.0000,-2.7153,3,-2.909742,0.3333,-0.5926,-3.249350,-8.7292
minute=11:50,4,-5.345976,0.0000,-2.5297,3,-0.657274,0.3333,-0.2943,-0.996881,-1.9718
bucket_30m=15:30 + dow=Tue,3,4.533360,1.0000,4.9448,3,0.153784,0.6667,0.2845,-0.185824,0.4614
dow=Tue + midday=True,18,-2.013404,0.2778,-1.6295,18,-0.043899,0.5000,-0.0536,-0.383507,-0.7902
bucket_30m=12:30 + dow=Wed,3,4.977823,1.0000,1.9821,3,0.132087,0.3333,0.0254,-0.207521,0.3963
minute=10:50,4,-4.784328,0.2500,-2.0323,3,-0.012654,0.6667,-0.0019,-0.352262,-0.0380
