minute,n,mean_bps,hit_rate,t_stat,total_bps
09:40,60,-0.760700,0.4667,-0.4527,-45.6420
09:50,60,2.825286,0.5833,1.3243,169.5171
10:00,60,0.341516,0.5500,0.2224,20.4910
10:10,60,2.078717,0.6167,1.4470,124.7230
10:20,60,0.955879,0.6000,0.6892,57.3527
10:30,60,-0.210287,0.5000,-0.1338,-12.6172
10:40,60,0.598182,0.5500,0.3388,35.8909
10:50,60,0.594646,0.5333,0.4916,35.6788
11:00,60,0.990558,0.5833,0.6650,59.4335
11:10,60,-0.033833,0.5500,-0.0233,-2.0300
11:20,60,-0.295208,0.5667,-0.2177,-17.7125
11:30,60,0.208768,0.5667,0.1852,12.5261
11:40,60,-0.533280,0.5167,-0.4288,-31.9968
11:50,60,0.284736,0.5333,0.2891,17.0842
12:00,60,-1.009223,0.4500,-0.7261,-60.5534
12:10,60,0.478270,0.5833,0.5248,28.6962
12:20,60,0.467292,0.5333,0.3948,28.0375
12:30,60,-0.693434,0.5167,-0.6605,-41.6061
12:40,60,1.049103,0.4667,0.6679,62.9462
12:50,60,0.259188,0.4833,0.2688,15.5513
13:00,60,0.057691,0.5500,0.0500,3.4614
13:10,60,-1.489700,0.4500,-1.4013,-89.3820
13:20,60,1.417879,0.6333,1.2616,85.0727
13:30,60,1.123615,0.5500,1.0904,67.4169
13:40,60,-0.744712,0.5000,-0.5549,-44.6827
13:50,60,0.831997,0.6167,0.7664,49.9198
14:00,60,-0.348207,0.5500,-0.2964,-20.8924
14:10,59,-0.238742,0.4746,-0.2009,-14.0858
14:20,59,-1.961148,0.4576,-1.7507,-115.7077
14:30,59,0.967015,0.4915,0.9983,57.0539
14:40,59,-1.670513,0.3390,-2.0973,-98.5603
14:50,59,-0.997355,0.5593,-0.8686,-58.8439
15:00,59,0.936179,0.5593,0.6660,55.2345
15:10,59,2.652503,0.6271,2.7567,156.4977
15:20,59,-0.974143,0.4746,-0.8665,-57.4744
15:30,59,-0.645285,0.4576,-0.7379,-38.0718
15:40,59,-0.380772,0.5763,-0.2779,-22.4656
15:50,59,0.150766,0.4915,0.1225,8.8952
