symbol,name,is_mag7,sources,best_source_rank,source_weight_pct
AAPL,AAPL,yes,fallback_large_cap_seed;mag7;sp500_proxy_spy;voo;vti,1,
MSFT,MSFT,yes,fallback_large_cap_seed;mag7;sp500_proxy_spy;voo;vti,2,
NVDA,NVDA,yes,fallback_large_cap_seed;mag7;sp500_proxy_spy;voo;vti,1,
AMZN,AMZN,yes,fallback_large_cap_seed;mag7;sp500_proxy_spy;voo;vti,4,
GOOGL,GOOGL,yes,fallback_large_cap_seed;mag7;sp500_proxy_spy;voo;vti,5,
META,META,yes,fallback_large_cap_seed;mag7;sp500_proxy_spy;voo;vti,6,
TSLA,TSLA,yes,fallback_large_cap_seed;mag7;sp500_proxy_spy;voo;vti,7,
AVGO,Broadcom Inc.,no,fallback_large_cap_seed;sp500_proxy_spy;voo;vti,6,3.50
GOOG,Alphabet Inc.,no,fallback_large_cap_seed;sp500_proxy_spy;voo;vti,6,
MU,"Micron Technology, Inc.",no,fallback_large_cap_seed;sp500_proxy_spy;voo;vti,10,1.83
BRK.B,Berkshire Hathaway Inc.,no,fallback_large_cap_seed;sp500_proxy_spy;voo;vti,10,
AMD,"Advanced Micro Devices, Inc.",no,fallback_large_cap_seed;sp500_proxy_spy;voo;vti,13,1.30
LLY,Eli Lilly and Company,no,fallback_large_cap_seed;sp500_proxy_spy;voo;vti,12,1.14
JPM,JPMorgan Chase & Co.,no,fallback_large_cap_seed;sp500_proxy_spy;voo;vti,11,
XOM,Exxon Mobil Corporation,no,fallback_large_cap_seed;sp500_proxy_spy;voo;vti,14,1.04
JNJ,Johnson & Johnson,no,fallback_large_cap_seed;sp500_proxy_spy;voo;vti,17,0.82
V,Visa Inc.,no,fallback_large_cap_seed;sp500_proxy_spy;voo;vti,14,
INTC,Intel Corporation,no,fallback_large_cap_seed;sp500_proxy_spy;voo;vti,19,0.78
CSCO,"Cisco Systems, Inc.",no,fallback_large_cap_seed;sp500_proxy_spy,20,0.77
WMT,Walmart Inc.,no,fallback_large_cap_seed;sp500_proxy_spy;voo;vti,13,
COST,Costco Wholesale Corporation,no,fallback_large_cap_seed;sp500_proxy_spy;voo;vti,19,
CAT,Caterpillar Inc.,no,fallback_large_cap_seed;sp500_proxy_spy;voo;vti,21,0.60
LRCX,Lam Research Corporation,no,fallback_large_cap_seed;sp500_proxy_spy,24,0.64
ORCL,Oracle Corporation,no,fallback_large_cap_seed;sp500_proxy_spy,15,
AMAT,"Applied Materials, Inc.",no,fallback_large_cap_seed;sp500_proxy_spy,26,0.60
MA,Mastercard Incorporated,no,fallback_large_cap_seed;voo;vti,16,
NFLX,"Netflix, Inc.",no,fallback_large_cap_seed;voo;vti,17,
ABBV,AbbVie Inc.,no,fallback_large_cap_seed;voo;vti,23,
CVX,Chevron Corporation,no,fallback_large_cap_seed;voo;vti,26,0.59
HD,HD,no,fallback_large_cap_seed,21,
PG,PG,no,fallback_large_cap_seed,22,
BAC,BAC,no,fallback_large_cap_seed,24,
PLTR,PLTR,no,fallback_large_cap_seed,25,
KO,KO,no,fallback_large_cap_seed,26,
PM,PM,no,fallback_large_cap_seed,27,
UNH,UNH,no,fallback_large_cap_seed,28,
GE,GE,no,fallback_large_cap_seed,29,
TMUS,TMUS,no,fallback_large_cap_seed,31,
WFC,WFC,no,fallback_large_cap_seed,32,
CRM,CRM,no,fallback_large_cap_seed,33,
ABT,ABT,no,fallback_large_cap_seed,34,
IBM,IBM,no,fallback_large_cap_seed,35,
MS,MS,no,fallback_large_cap_seed,36,
AXP,AXP,no,fallback_large_cap_seed,37,
LIN,LIN,no,fallback_large_cap_seed,38,
MCD,MCD,no,fallback_large_cap_seed,39,
GS,GS,no,fallback_large_cap_seed,40,
DIS,DIS,no,fallback_large_cap_seed,41,
MRK,MRK,no,fallback_large_cap_seed,42,
INTU,INTU,no,fallback_large_cap_seed,43,
RTX,RTX,no,fallback_large_cap_seed,44,
T,T,no,fallback_large_cap_seed,45,
NOW,NOW,no,fallback_large_cap_seed,46,
PEP,PEP,no,fallback_large_cap_seed,47,
UBER,UBER,no,fallback_large_cap_seed,48,
VZ,VZ,no,fallback_large_cap_seed,51,
ISRG,ISRG,no,fallback_large_cap_seed,52,
BKNG,BKNG,no,fallback_large_cap_seed,53,
QCOM,QCOM,no,fallback_large_cap_seed,54,
TXN,TXN,no,fallback_large_cap_seed,55,
SCHW,SCHW,no,fallback_large_cap_seed,56,
C,C,no,fallback_large_cap_seed,57,
BA,BA,no,fallback_large_cap_seed,58,
BLK,BLK,no,fallback_large_cap_seed,59,
AMGN,AMGN,no,fallback_large_cap_seed,60,
SPGI,SPGI,no,fallback_large_cap_seed,61,
TJX,TJX,no,fallback_large_cap_seed,62,
PGR,PGR,no,fallback_large_cap_seed,63,
ADBE,ADBE,no,fallback_large_cap_seed,64,
SYK,SYK,no,fallback_large_cap_seed,65,
BSX,BSX,no,fallback_large_cap_seed,66,
GILD,GILD,no,fallback_large_cap_seed,67,
DHR,DHR,no,fallback_large_cap_seed,68,
HON,HON,no,fallback_large_cap_seed,69,
NEE,NEE,no,fallback_large_cap_seed,70,
UNP,UNP,no,fallback_large_cap_seed,72,
PFE,PFE,no,fallback_large_cap_seed,73,
LOW,LOW,no,fallback_large_cap_seed,74,
DE,DE,no,fallback_large_cap_seed,75,
PANW,PANW,no,fallback_large_cap_seed,76,
CMCSA,CMCSA,no,fallback_large_cap_seed,77,
ETN,ETN,no,fallback_large_cap_seed,78,
COF,COF,no,fallback_large_cap_seed,79,
ANET,ANET,no,fallback_large_cap_seed,80,
VRTX,VRTX,no,fallback_large_cap_seed,81,
ADP,ADP,no,fallback_large_cap_seed,83,
COP,COP,no,fallback_large_cap_seed,85,
KLAC,KLAC,no,fallback_large_cap_seed,86,
MDT,MDT,no,fallback_large_cap_seed,87,
ADI,ADI,no,fallback_large_cap_seed,88,
CB,CB,no,fallback_large_cap_seed,89,
NKE,NKE,no,fallback_large_cap_seed,90,
MMC,MMC,no,fallback_large_cap_seed,91,
